programme_title,R,I,A,S,E,C,entropy
Ancient Studies,0.06452247037802702,0.9179126627560261,0.37060966056894307,0.10251069364451511,0.03136372458285874,0.06655485204132172,1.1780396792616998
Archaeology,0.3660523619286481,0.9204405567934546,0.10058893541165999,0.053241348480329055,0.039022579760096654,0.065721479668563,1.1708595663398669
Artificial Intelligence,0.08855109047153428,0.9657302752292726,0.0841628782472715,0.20334646255477615,0.05082975384022101,0.09223286885938128,1.1710213322130896
Biomedical Sciences,0.12255792354223445,0.9699109689802862,0.06460747159887119,0.10156150906578792,0.06301731267068926,0.1605995654489256,1.1789100491765083
Business Analytics,0.05605951120079737,0.9205982600086025,0.053294155644971086,0.07241353125259618,0.369181967617184,0.07054688600487259,1.171738374610231
Communication and Information Studies,0.05811049152413662,0.25713462865717923,0.9540756534124405,0.10543734745598925,0.04870877280156455,0.08218894268326693,1.1724755917126928
Computer Science,0.09730964216586033,0.9753876632688037,0.11733228421371929,0.0931717922512286,0.09599171489563584,0.08653024191492337,1.1739589307523866
Econometrics and Data Science,0.06774873680658125,0.9699421140241287,0.06563653092718635,0.10173194552473891,0.17014152518675163,0.10496057630481516,1.1766516508386506
Econometrics and Operations Research,0.0884824446953138,0.9716271975324386,0.0759917002310386,0.08606250949087482,0.16226155924065325,0.0927423222963568,1.178846314339564
Economics and Business Economics,0.038484323230682654,0.4220732674972591,0.03718010563468894,0.06591384409399936,0.895978471036445,0.10894355451610253,1.171209694445605
History,0.019420370544702362,0.8292763912588492,0.30000580129947324,0.469913887896939,0.015298172983001006,0.029443830597131085,1.1795330036492995
International Business Administration,0.06445293570177665,0.19013266102136853,0.055811838568022104,0.11021192165859892,0.9661346443665632,0.1049648048015451,1.1818111946767875
Literature and Society,0.06597864666562946,0.1799514010106524,0.9618827303448734,0.17839375997057,0.05837135017866378,0.05305069655197391,1.1747612193310222
Mathematics,0.09795669709542479,0.9747351438316236,0.09547504756967011,0.10125673129672674,0.10091483278042042,0.10365168140107864,1.1851712431923433
"Media, Art, Design and Architecture",0.09201033321960064,0.13050919286186657,0.974345227924345,0.09634315048908473,0.08738898038002417,0.09074133260204982,1.1791833714311288
Philosophy,0.05306715569634415,0.9545752846515626,0.08283959766754637,0.24324837922726206,0.0405821214199125,0.13524356325288475,1.1743102220401649
"Philosophy, Politics and Economics",0.034653558102824514,0.9405815360099318,0.045215494469494896,0.18163224612392098,0.06347512424431986,0.2739374013493564,1.1808407088461712
