code,course_name,programme_title,faculty,programme_url,track_from_label,year_num,period,ects,course_level,course_coordinator,teaching_method,course_programmes,course_paragraphs_json
VU_ELT,English Language Test,Ancient Studies,,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,1.0,0,0,,,"Hide full list (21); Ancient Studies; Archaeology; Artificial Intelligence; Biomedical Sciences; Business Analytics; Communication Science; Communication and Information Studies; Computer Science; Cultural Anthropology and Development Sociology; Econometrics and Data Science; Econometrics and Operations Research; Economics and Business Economics; History; International Business Administration; Law in Society; Literature and Society; Mathematics; Media, Art, Design and Architecture; Philosophy; Political Science; Psychology","[""Course Objective\nAt VU Amsterdam, having a strong command of the language of your study programme is crucial to your academic success. Therefore, all first-year Bachelor students must take a Dutch or English language proficiency test at the beginning of their studies. The required test depends on the language of instruction for your Bachelor's programme.\nSee also: Language Proficiency Test - Vrije Universiteit Amsterdam (vu.nl)"", ""Course Content\nThe test consists of multiplechoice and fill-in-the-blank questions on the following topics:\nGrammar\nSpelling and punctuation\nStructuring\nVocabulary/usage\nPhrasing\nReading comprehension\nPronunciation\nClassroom English"", ""Additional Information Teaching Methods\nThe language proficiency test will take place in September in the DigiTenT at the VU."", ""Method of Assessment\nThe language proficiency test is a digital test consisting of 200 closed questions."", ""Additional Information\nThe VU English Language Test is linked to a first-year course. The final grade for this course is awarded only after passing the English Language Test. Students who do not obtain a satisfactory result for the test have to take the refresher course offered by the Taalloket.\nFor more information on the VU English Language Test, please see also: Language Proficiency Test - Vrije Universiteit Amsterdam (vu.nl)"", ""Custom Course Registration\nYou do not need to register for the test. The Educational Office of your faculty will ensure your registration for the language proficiency test. Once registered, you can find the test’s date and time on your personal timetable. If you have not been registered by 8 September, please contact the student desk. You can also check the timetable of your programme for the test schedule.\nEnsure you know your VUnet ID and corresponding password, as you will need these details to log in to the language test. Tip: change your password to something you can easily remember.""]"
L_AABAOHW115,Objects in Context. An Interdisciplinary Perspective on the Ancient World,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,1.0,6,100,prof. dr. J.P. Crielaard,Lecture,Hide full list (1); Ancient Studies,"[""Course Objective\nA distinct feature of Ancient Studies is the combined use of written and material sources. In this course the focus is on material culture, and how this can be used as a source of information about the past. You will familiarize yourself with some of the main categories of objects such as statues, reliefs, coins and utensils as well as with complex assemblages that are part of the sacred, domestic and funerary domain. An important issue is how we evaluate objects as sources of historical information about the past. What are the possibilities and limitations? What types of questions can we ask? For this we take a closer look at the historical context of material sources: we explore why material culture was created by people in the past, and how this affects our image of antiquity. Special attention will be paid to confronting material and literary information, and to those cases where they seem to contradict each other.\nAt the end of this course, you can:\nevaluate various categories of objects as sources of historical information about the past\nexplain basic theories regarding the use of objects as historical source\napply these insights to an actual object\nfind relevant scholarship and primary sources\nwrite a brief annotated academic text"", ""Course Content\nIn this course you will familiarize yourself with some basic theories regarding the use of material sources to generate information about the past. In addition to this, you will perform your own research on selected objects from the archaeological collection of the Allard Pierson. Doing so, you will get acquainted with the university library and acquire basic academic skills such as how to draft an academic text, how to find relevant scholarship and primary sources, how to provide adequate annotation and how to draw up a bibliography.\nTogether with ‘Historical Sources’ in period 3, this course lays the foundation for the interdisciplinary approach that characterizes Ancient Studies. You learn how to use and evaluate objects as sources of information about the past, and to combine and confront these with data from written evidence. You pursue this approach and method in the rest of your study program."", ""Additional Information Teaching Methods\nLectures and seminars (3 x 2hrs p/w)"", ""Method of Assessment\nMultiple choice exam (40%)\nSet-up for writing assignment (completed/not-completed)\nWriting assignment (60%)\nThis course is part of the learning path Academic Skills for Ancient Studies students. Students will be introduced into the rules of setting up an academic bibliography and reference system and train their writing skills."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed.\nThis course is not open for elective students.\nPlease note: This course is scheduled at the University of Amsterdam""]"
L_AABAOHW101,The Classical Canon I: The Heritage of Antiquity,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture","Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nThis first canon module (followed up by a module in year 2 for regular students, but also set up as ‘stand alone’ elective) gives an introduction to the texts, items, places and monuments that belong to the 'Classical' canon, or have once belonged to it. After a general introduction, it offers broad outlines of the contents, contexts and uses of canonical works, persons and events, such as the Bible, the Gilgamesh epos, Homer, Virgil, ancient tragedians and lyricists, the Athenian Akropolis, the Ara Pacis, the battle of Thermopylai etc. Examples will be taken from literature, archaeology, history, history of art and urban studies, or regard so-called lieux de mémoire. They will be ordered thematically in combinations of several items. A lecture is devoted a single theme or a category of canonical works, persons or events, suggesting links and connections between them. The examples will normally be taken from the ancient world, but they will be viewed in the perspective of the roles they have played in later times, and of their roles in the formation of later canons. Reception of canonical items and their continuous presence through time are an important focus of the module.\nAcquiring basic knowledge about the (various) contents, cultural contexts, causes and uses of (the) classical canon(s);\nBeing able to reproduce an overview of the main constituents of the present day ‘classical canon’ from the Ancient Near East to Late Antiquity\nBeing able to reproduce a basic chronology; to distinguish various ‘genres’/disciplines; an to generally contextualise various canons and their functions, and canonical items within that\nBeing able to switch between various ‘genres’/disciplines/artistic media/periods/cultural areas\nBeing able to identify specific and more general parts of the canon"", ""Course Content\nThis course prepares for the module ‘Canon II’ on modern theory concerning canons and canonicity, but can also be taken as a separate (elective) module. Besides reading texts relevant to the case studies, students will have to present a case study in a group presentation."", ""Additional Information Teaching Methods\nLectures/seminars, 2 x 2 hours\nThe first half of the course (weeks 2-4) consists of lectures; the second half (weeks 5-7) consists of a lecture and a seminar (mainly for the group presentations) each week. Presence for the seminars is required."", ""Method of Assessment\nOral presentation of a group project (40% of the final grade). Students conduct a small research project on a canonical item (not discussed in class) and its meaning through time. The results of the project are presented orally to the other students during one of the seminars.\nWritten exam in week 8 , based on the contents of the readings and the case studies presented in the lectures and the seminars (60% of the final grade).\nThis course is part of the learning path Academic Skills of the BA programme Ancient Studies (Oudheidwetenschappen). Students train their presentation skills.\nResit regulations regarding the assignments are specified in the study manual."", ""Literature\nA selection of articles and book chapters which are freely available online (Canvas) or through the library. Students prepare for the sessions by reading an article/chapter of secondary literature and/or (in some of the seminars) by watching recorded materials. Some of the reading/viewing will be discussed in class, other texts serve as a background useful to better understand lectures, or offer additional information."", ""Additional Information Target Audience\nFirst year students --> Bachelor's in Ancient Studies and elective students."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAAGO101,A Cultural History of the Ancient World 1: The Near East and the Greek World,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,2.0,6,100,dr. S.S. Zaia MPhil,"Seminar*, Lecture",Hide full list (3); Ancient Studies; Archaeology; Greek and Latin Languages and Cultures,"[""Course Objective\nAfter succesfully completing this course you\nhave a basic knowledge and understanding of the main cultural and historical developments in the Near East and the Mediterranean from the Neolithic until the Hellenistic period\nare able to place these developments in time and space\nhave an insight in how the developments in different parts of the Mediterranean and Near East were interrelated\nknow and can apply the essential terms, notions, concepts and stylistic characteristics current in contemporary scholarship in this field\ncan reflect on the interplay between material culture and historical and cultural developments\nhave been introduced to dealing with cultural-historical problems from an interdisciplinary angle, using archaeological, textual and historical sources"", ""Course Content\nThis course offers you an overview of the major historical and cultural developments in the Mediterranean and the Near East from the Neolithic to the Hellenistic period (ca. 10,000 to 300 BCE). The overview is presented according to major historical developments and a selection of objects, buildings and find places. Recurring themes are the emergence and development of states and political systems, social and political complexity, cultural identity and interconnectivity. Aside from the lectures, you work on assignments for the seminars (once every two weeks) that help you to further explore specific topics, to relate theory to practice, and to work with written sources and original (archaeological) materials from the collections of the VU University Library and the Allard Pierson."", ""Additional Information Teaching Methods\nLectures (twice a week) and seminars (once every two weeks)."", ""Method of Assessment\nMid term exam (10%), final exam (75%) and assignments linked to the seminars (15%). You have passed this course with a total score of 5.5 or higher.\nThis course is part of the learning path Academic Skills of the BA programmes. Archaeology, Classics (GLTC) and Ancient Studies (Oudheidwetenschappen). Its students will be specifically trained in communicating with a wider, non-specialist audience in their museum assignments."", ""Literature\nDe Blois, L. & R. J. van der Spek 2019: An Introduction to the Ancient World (3rd revised edition), Taylor & Francis, Abingdon.\nJ. M. Barringer, The Art and Archaeology of Ancient Greece, Cambridge: Cambridge University Press, 2014.\nAdditional study materials on Canvas."", ""Additional Information Target Audience\nFirst-year ACASA students of Classics, Archaeology, and Ancient Studies.\nThis course can also be followed as an elective, as part of a minor or an exchange program."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAOHW102,Cultural Contact: East and West,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,2.0,6,100,prof. dr. R.B. ter Haar Romeny,"Seminar, Lecture",Hide full list (2); Ancient Studies; History,"[""Course Objective\nAfter completing this course:\nThe student is able to apply the most important social/anthropological theories and historical concepts with regard to cultural interaction, acculturation and identity;\nThe student recognizes the problems related to periodizations and generalizations in history and is acquainted with the most important discussions about the relation between culture, identity, and power;\nThe student is acquainted with the most important viewpoints in general (cultural-historical) discussions about East/West, Hellenism, and Orientalism;\nThe student has gained awareness of conflicting opinions in Anglophone scholarship and has learned to take a position in debates."", ""Course Content\nFor a long time, Western scholars were mostly interested in the cultures of Classical Greece and Rome, regarding them as the twin cradles of Western civilization. However, in Egypt, the Levant and Mesopotamia, there were great civilizations whose roots stretched back much further into the past and whose fates became inextricably intertwined with those of the Greeks and Romans. This module is concerned with the interaction between the cultures of the Mediterranean and Western Asia. How did Greeks, Romans, Egyptians, Persians, and Jews interact? From the Greco-Persian Wars to the success of Oriental cults in the Roman Empire, the focus will be not only on the ongoing confrontations between “East” and “West”, but also on the intense flows and contacts between both regions. We will examine these historical contacts and confrontations from the perspectives of cultural history, anthropology, and contemporary theoretical thought. Through the interdisciplinary use of different sources and media, we will discuss the reciprocity of cultural contacts and the possibilities for scholars to analyse them from various perspectives."", ""Additional Information Teaching Methods\nOne lecture and one seminar per week."", ""Method of Assessment\nWritten assignments (not graded)\nMid-term writing assignment (20 %)\nWritten exam (80 %)\nThe resit regulations regarding the assignments are specified in the study manual. This course is part of the learning path Academic Skills of the BA Ancient Studies programme. In this course, students of this programme will be specifically trained and tested in the reading, understanding and processing of academic literature, and in writing skills (including setting up a bibliography)."", ""Entry Requirements\nFor this course knowledge of ancient history is required. Students must combine this course with A Cultural History of the Ancient World 1: The Near East and the Greek World or have followed another introductory course relating to Ancient History."", ""Literature\nA selection of articles and chapters, provided by the teachers."", ""Additional Information Target Audience\nFirst year students in Bachelor Oudheidwetenschappen. Second year students of Bachelor Geschiedenis"", ""Additional Information\nThe course is also offered as an elective.\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam."", ""Recommended background knowledge\nFirst year students in ACASA Bachelor in Oudheidwetenschappen. Second year students of UvA Bachelor in Geschiedenis (electives Ancient Religions and Ancient Cultures) and second year students of the VU Geschiedenis and History and International Studies BA Programmes.""]"
L_AABAAGO108,Historical Sources,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,3.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture",Hide full list (3); Ancient Studies; Archaeology; Greek and Latin Languages and Cultures,"[""Course Objective\nThe days of classical antiquity are irretrievably gone. So how can we know anything about this intriguing world? How do new and changed insights about Antiquity come about? In other words: how does research into the past work? The first-year module ‘Historical sources’ introduces all students of Classical philology, Archaeology and Ancient Studies to the process of research into the past, with a particular focus on the role of sources. For all knowledge of the past starts from the analysis of primary sources: relics of the past, whether surviving by accident or carefully transmitted.\nAt the end of this module, students are able to:\nidentify and execute the consecutive steps of the process of research into the past\nidentify various types of primary sources from the Ancient World, using the appropriate academic terms\ndiscuss the typical features, potential and limitations of the types of historical sources studied in class\napply source criticism to historical sources\nassess the value of different types of primary sources for different research questions, and to explain the advantages of combining multiple types of sources (multi-disciplinarity)"", ""Course Content\nIn this module, students are introduced to the whole spectrum of primary sources, the ways these have reached us, and the consequences of this process of survival for their potential and validity. The focus will lay on textual and iconographic sources from Classical Antiquity, such as historiographical texts, inscriptions, documents on papyrus and coins. What are their special features? What are their potential and limitations for research? We will not only look at texts and images, but also at the material forms in which they have reached us. You will learn to use these sources for research purposes: how to evaluate them critically and to analyze them so as to answer a specific research question.\nEach source type requires specific analytical skills. These often represent a subdiscipline within the wider field of ancient studies. For most research questions it is essential, however, to use more than just one type of source. Various sources can complement and enrich our picture of the past, as will be shown throughout the module by means of interesting and interdisciplinary case studies. When visiting the historical location of one of these cases, you even will personally experience the added value of such an interdisciplinary approach."", ""Additional Information Teaching Methods\nThis course consists of lectures, seminars and group projects."", ""Method of Assessment\nParticipation: assignments in preparation of and in class (not graded)\nWritten exam\nThe resit regulations regarding the assignments are specified in the study manual."", ""Additional Information Target Audience\nFirst-year ACASA students of Classics, Archaeology, and Ancient Studies.\nThe course is also open to elective students who have participated in A Cultural History of the Ancient World 1 and 2, or who can demonstrate to have attained a comparable level, for instance by completing specific parts of the BA History."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed.\nThis course is not open for elective students.\nPlease note: This course is scheduled at the University of Amsterdam""]"
L_AABAAGO102,"A Cultural History of the Ancient World 2: The Hellenistic World, Italy and Rome",Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,4.0,6,100,prof. dr. mr. R.J. Allan,"Seminar*, Lecture",Hide full list (3); Ancient Studies; Archaeology; Greek and Latin Languages and Cultures,"[""Course Objective\nUpon completion of this course, students will:\nHave a basic knowledge and understanding of the main cultural and historical developments in Italy and the wider Mediterranean world in the period between ca. 1100 BCE and CE 400\nBe able to place these developments in time and space\nHave a firm grasp of the chronological framework of this period\nKnow and can apply the essential terms, notions, concepts and stylistic characteristics current in contemporary scholarship in this field\nHave experience in tackling cultural-historical problems from an interdisciplinary angle, using archaeological, textual and art historical sources\nRecognize a core group of items (objects and events) from images or basic descriptions, and describe their basic parameters (like date, maker(s) or protagonist, location etc.)\nBe trained in processing and presenting academic information in an oral format (spoken presentations) to an audience of their peers and non-specialists"", ""Course Content\nThis course offers an overview of the major historical and cultural developments in Italy and the Roman world between ca. 1100 BCE and CE 500, and traces the intensifying interaction of Rome with the wider Hellenistic and Mediterranean world. Recurring themes are (1) the emergence and development of states and political systems, in particular the Etruscan city-states, the Roman republic and the Roman empire; (2) how developments in different parts of the Mediterranean were interrelated; and (3) the interplay between material culture and mental concepts in these developments. In addition to the lectures, you work on assignments during the seminars that help you to further explore specific topics, to relate theory to practice, and to work with written sources (in translation) and original archaeological materials from the collection of the Allard Pierson."", ""Additional Information Teaching Methods\nLectures twice a week (2x2 hours/week); seminar once every two weeks (2 hours).\nTotal number of contact hours: 12x2 for lectures; 3x2 for seminars. Average number of contact hours per week: 5 hours.\nSchedule will be published on rooster.uva.nl"", ""Method of Assessment\nTwo seminar assignments (individual written work) and one group assignment (museum presentations) (together 25%);\nMidterm written exam in week 3 (30%);\nFinal written exam in week 7 (45%).\nTo pass the course, all assignments have to be completed.\nThis course is part of the learning path Academic Skills of the BA programmes Archaeology, Classics (GLTC) and Ancient Studies (Oudheidwetenschappen). Its students will be specifically trained in communicating with a wider, non-specialist audience in their museum assignment.\nThe resit regulations regarding the assignments are specified in the study manual."", ""Literature\nYou're expected to buy the following handbooks:\nDe Blois, L. & R. J. van der Spek 2019: An Introduction to the Ancient World (3rd revised edition), Taylor & Francis, Abingdon. ISBN 9780815372417 €44,99\nSteven L. Tuck, A History of Roman Art, (Wiley Blackwell), Oxford 2021. ISBN 9781119653288 €60,99"", ""Additional Information Target Audience\nFirst-year ACASA students of Classics, Archaeology, and Ancient Studies. The course can also be followed as an elective, as part of a minor or in an exchange program."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAARC108,Archaeology of Prehistoric and Roman Europe,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,4.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture",Hide full list (2); Ancient Studies; Archaeology,"[""Course Objective\nAfter following this course the student\nHas a general knowledge and understanding of the main cultural and historical developments of NW Europe between c. 5000 BC and AD 450\nHas an understanding of the archaeological datasets, research questions and approaches that characterize the archaeology of NW Europe in the respective period\nCan relate habitational patterns of the past to physical-geographical maps of NW European landscapes of the respective periods\nHas knowledge of supra-regional connections and networks within Europe\nUnderstands major cultural processes and the contribution of social and historical sciences and archaeology in the study of these processes\nHas the skills to present a scientific topic to fellow students"", ""Course Content\nThis course is a students’ first encounter with the archaeology of the Neolithic, Bronze Age, Iron Age and Roman period. Themes such as material culture, habitation, burial ritual and land use are treated for each of the respective periods, as well as theories and concepts that are used to interpret the archaeological data. Most attention will be devoted to Northwestern Europe, specifically the Low Countries, contextualised within broad European trends."", ""Additional Information Teaching Methods\nThe course consists of 6 lectures and 6 seminars, plus 2 meetings assigned for training oral presentations. Broad cultural processes of the various periods are presented during the lectures. Seminars often take the form of question and answer sessions and will treat concrete case studies as well as key publications. One excursion to a major Roman site or museum is part of the course."", ""Method of Assessment\nWritten examination at the end of the course (graded).\nPresentations with handout (completed/non-completed).\nFor regulations concerning resitting these exams/assessments see the course manual.\nThis course is part of the learning path Academic Skills of the BA Archaeology programme. In this course, students of this programme will be specifically trained and tested in oral presentations."", ""Literature\nLiterature is provided at the start of the course."", ""Additional Information Target Audience\nfirst year bachelor students of Archaeology\nstudents who wish to take the course as an elective"", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam."", ""Recommended background knowledge\nKnowledge from archaeology courses in the first semester of year 1 is expected but not strictly required.""]"
L_AABAOHW114,Classical Mythology,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,4.0,6,100,prof. dr. mr. R.J. Allan,Lecture,"Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nThis is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025"", ""Course Content\nThis is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025"", ""Additional Information Teaching Methods\nThis is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025"", ""Method of Assessment\nThis is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025"", ""Additional Information Target Audience\ntba"", ""Custom Course Registration\nACASA students must register via UvA https://glass.uva.nl. Please note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAOHW103,Elementary Akkadian and A History of Ancient Mesopotamian Literature 1,Ancient Studies,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,Ancient Studies,1,4.0,6,100,dr. M.M. Groß,"Seminar, Lecture","Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nAfter successful completion of this course, students:\nWill know the basic grammar and vocabulary of Akkadian in the dialect of the classical Old Babylonian period (ca. 19th-17th centuries BCE).\nWill have learnt how the cuneiform writing-system works and will be able to read and translate isolated sentences from Akkadian into English.\nWill have gained insight into the rich textual history of ancient Mesopotamia."", ""Course Content\nThis course is designed to teach students with no prior knowledge of Semitic languages to read Akkadian. First attested around 2300 BCE and last used in the first century CE, Akkadian has a tremendously rich history. It was written on clay tablets, using a script we call ‘cuneiform’ (from Latin cuneus meaning ‘wedge-shaped’). Cuneiform tablets survive not only from Mesopotamia (present-day Iraq) but also from Syria, Turkey and Egypt and they tell us about all imaginable aspects of human life in ancient times: how cities and states were organized, how great battles were fought and won, which laws governed societies, people's beliefs about gods and even what kind of songs they listened to or how they cooked their meals. Throughout this course you will learn a basic repertoire of cuneiform signs so that by the end, you will be able to decipher and read some of these ancient texts yourself!\nTime permitting, students will have a guided tour of the VU special collections, during which they will have the opportunity to engage with actual ancient cuneiform tablets."", ""Additional Information Teaching Methods\nSeminars (twice a week)."", ""Method of Assessment\nParticipation (40%)\nParticipation will be assessed based on your presence in class and your preparation. This means contributing to in-class analyses and translations of texts. If a student has an excused absence (for documented illness, any absence approved by a dean, religious observance), the student can receive full credit by submitting the homework assignment. Students who attend class, participate by asking and answering questions, and do the assigned reading and exercises have historically done well in this course, even if its subject matter is unfamiliar.\nWritten examination (60%)\nStudents will be tested on their command of the grammar, signs and vocabulary as taught in the course. To this end, they will be expected to transliterate, transcribe, analyze and translate short sentences and passages that reflect the level of knowledge acquired by the end of the course.\nThe resit regulations regarding the assignments are specified in the study manual."", ""Literature\nFor this course you will need three items: a grammar book, a sign-lexicon and a dictionary. If you cannot obtain them yourself, the teacher will provide you with pdf files of the necessary literature:\nCourse textbook: Richard Caplice, Introduction to Akkadian (2002, 4th edition).\nSign list: Rykle Borger, Mesopotamisches Zeichenlexikon (last edition 2010) or Rene Labat, Manuel d’épigraphie akkadienne (last edition 1976).\nAkkadian-English dictionary: CDA: A Concise Dictionary of Akkadian, 2nd edition 2000, edited by Jeremy Black, Andrew George and Nicholas Postgate."", ""Additional Information Target Audience\nBA students of Ancient Studies (Oudheidwetenschappen), who specialise in Ancient Near Eastern Studies;\nStudents of the minor Ancient Near Eastern Languages and Cultures (see https://minor.vu.nl/en);\nStudents who wish to choose the course as an elective.\nThis course is a prerequisite for Elementary Akkadian and A History of Ancient Mesopotamian Literature 2"", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam""]"
