code,course_name,programme_title,faculty,programme_url,year_num,period,ects,course_level,course_coordinator,teaching_method,course_programmes,course_paragraphs_json
L_AABAARC111,Archaeological Sources,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture",Hide full list (1); Archaeology,"[""Course Objective\nThis course offers archaeology students an introduction into archaeological sources and academic skills. It will run parallel to the course What is Archaeology? to which it is aligned. The course delivers a concise introduction to material sources and materiality as core concepts of archaeology training as well as an introduction to ways of dealing scientifically with material sources.\nThe introduction into academic skills focuses on reading and processing and searching and justifying as formulated in the ACASA Academic skills pathway. Students practice summarizing readings, learn how to deal with footnotes and bibliographies, learn to distinguish between primary and secondary sources, and are introduced to the relevant collections (physical, UB and online). Fraud and plagiarism are also highlighted.\nAfter completing this course students will be able to:\ndescribe the possibilities and limitations of the most important categories of archaeological sources;\nsplit an archaeological assemblage into different categories of material culture;\nexplain the theoretical and methodological differences in the approach to archaeological sources;\ncritically review the characterisation and subsequent relative dating of archaeological contexts;\nexplain research methodology with respect to research question and scale of analysis;\napply basic academic skills in their work."", ""Course Content\nMateriality in archaeology concerns not simply the physical matter of artefacts but the fundamental interactions between humans and materials through time. The processes through which humans turn materials into objects, from selection and manipulation to use and discard, provides a valuable, tangible source of information on past human behaviour and interaction. But the story does not end there, as these objects in turn interact with each other and humans to shape our lived experiences. Using the world-leading reference collections housed within ACASA as a primary resource, students will become familiar with different types of archaeological sources, their (raw) materials and how archaeologists approach these sources at different scales of analysis – artefact, assemblage, industry/technology – as well as the range of techniques used to observe and classify these sources.\nThe following questions will be answered:\nwhat different kinds of information do unworked and worked materials offer as archaeological sources?\nhow do humans turn (raw) materials into objects?\nhow can materials play a role in the frequency and visibility of different archaeological sources in the archaeological record?\nhow do objects affect social, religious, economic and political aspects of past societies?\nhow do archaeologists present and discuss their research into different archaeological sources?"", ""Additional Information Teaching Methods\nLectures (1 p/w- materiality theory)\nSeminars/Practicals (1 p/w- materiality skills and academic skills)\nKey methodologies:\nintroduction into classification, typology, seriation and relative dating\nbroad assessment of material type\nproduction sequences of artefact categories (additive vs. subtractive practices)\nthe socially embedded nature of technological practice\nexplaining changes in artefact use-function-meaning through object biographies\ncreation of lab reports as an assignment type"", ""Method of Assessment\nThe assessment for this course requires students to write a lab/practical report (20%) and a final multiple choice exam (60%) for the materiality component. A grade of at least 5.5 in the final exam is required to pass the course.\nFor the academic skills components, reading and processing and searching and justifying, students are assessed through writing a short essay (500-1000 words) on an object biography of their choice (20%). Multiple choice questions on source identification and references are also included in the final course exam."", ""Literature\nTextbook:\nRenfrew & Bahn textbook; same literature to WIA with different questions, especially chapters 4 and 8\nrequired reading:\nClive Gamble, The Basics, or similar\nFurther literature, bibliography\nWeb resources"", ""Additional Information\nIncluded in the course are visits to the University Humanities Library and the Allard Pierson Museum.\nN.B. When the text in the study guide is different from that of the course manual, the course manual is valid.\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed.\nThis course is not open for elective students.\nPlease note: This course is scheduled at the University of Amsterdam""]"
L_AABAARC111,Archaeological Sources,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture",Hide full list (1); Archaeology,"[""Course Objective\nThis course offers archaeology students an introduction into archaeological sources and academic skills. It will run parallel to the course What is Archaeology? to which it is aligned. The course delivers a concise introduction to material sources and materiality as core concepts of archaeology training as well as an introduction to ways of dealing scientifically with material sources.\nThe introduction into academic skills focuses on reading and processing and searching and justifying as formulated in the ACASA Academic skills pathway. Students practice summarizing readings, learn how to deal with footnotes and bibliographies, learn to distinguish between primary and secondary sources, and are introduced to the relevant collections (physical, UB and online). Fraud and plagiarism are also highlighted.\nAfter completing this course students will be able to:\ndescribe the possibilities and limitations of the most important categories of archaeological sources;\nsplit an archaeological assemblage into different categories of material culture;\nexplain the theoretical and methodological differences in the approach to archaeological sources;\ncritically review the characterisation and subsequent relative dating of archaeological contexts;\nexplain research methodology with respect to research question and scale of analysis;\napply basic academic skills in their work."", ""Course Content\nMateriality in archaeology concerns not simply the physical matter of artefacts but the fundamental interactions between humans and materials through time. The processes through which humans turn materials into objects, from selection and manipulation to use and discard, provides a valuable, tangible source of information on past human behaviour and interaction. But the story does not end there, as these objects in turn interact with each other and humans to shape our lived experiences. Using the world-leading reference collections housed within ACASA as a primary resource, students will become familiar with different types of archaeological sources, their (raw) materials and how archaeologists approach these sources at different scales of analysis – artefact, assemblage, industry/technology – as well as the range of techniques used to observe and classify these sources.\nThe following questions will be answered:\nwhat different kinds of information do unworked and worked materials offer as archaeological sources?\nhow do humans turn (raw) materials into objects?\nhow can materials play a role in the frequency and visibility of different archaeological sources in the archaeological record?\nhow do objects affect social, religious, economic and political aspects of past societies?\nhow do archaeologists present and discuss their research into different archaeological sources?"", ""Additional Information Teaching Methods\nLectures (1 p/w- materiality theory)\nSeminars/Practicals (1 p/w- materiality skills and academic skills)\nKey methodologies:\nintroduction into classification, typology, seriation and relative dating\nbroad assessment of material type\nproduction sequences of artefact categories (additive vs. subtractive practices)\nthe socially embedded nature of technological practice\nexplaining changes in artefact use-function-meaning through object biographies\ncreation of lab reports as an assignment type"", ""Method of Assessment\nThe assessment for this course requires students to write a lab/practical report (20%) and a final multiple choice exam (60%) for the materiality component. A grade of at least 5.5 in the final exam is required to pass the course.\nFor the academic skills components, reading and processing and searching and justifying, students are assessed through writing a short essay (500-1000 words) on an object biography of their choice (20%). Multiple choice questions on source identification and references are also included in the final course exam."", ""Literature\nTextbook:\nRenfrew & Bahn textbook; same literature to WIA with different questions, especially chapters 4 and 8\nrequired reading:\nClive Gamble, The Basics, or similar\nFurther literature, bibliography\nWeb resources"", ""Additional Information\nIncluded in the course are visits to the University Humanities Library and the Allard Pierson Museum.\nN.B. When the text in the study guide is different from that of the course manual, the course manual is valid.\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed.\nThis course is not open for elective students.\nPlease note: This course is scheduled at the University of Amsterdam""]"
L_AABAARC111,Archaeological Sources,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture",Hide full list (1); Archaeology,"[""Course Objective\nThis course offers archaeology students an introduction into archaeological sources and academic skills. It will run parallel to the course What is Archaeology? to which it is aligned. The course delivers a concise introduction to material sources and materiality as core concepts of archaeology training as well as an introduction to ways of dealing scientifically with material sources.\nThe introduction into academic skills focuses on reading and processing and searching and justifying as formulated in the ACASA Academic skills pathway. Students practice summarizing readings, learn how to deal with footnotes and bibliographies, learn to distinguish between primary and secondary sources, and are introduced to the relevant collections (physical, UB and online). Fraud and plagiarism are also highlighted.\nAfter completing this course students will be able to:\ndescribe the possibilities and limitations of the most important categories of archaeological sources;\nsplit an archaeological assemblage into different categories of material culture;\nexplain the theoretical and methodological differences in the approach to archaeological sources;\ncritically review the characterisation and subsequent relative dating of archaeological contexts;\nexplain research methodology with respect to research question and scale of analysis;\napply basic academic skills in their work."", ""Course Content\nMateriality in archaeology concerns not simply the physical matter of artefacts but the fundamental interactions between humans and materials through time. The processes through which humans turn materials into objects, from selection and manipulation to use and discard, provides a valuable, tangible source of information on past human behaviour and interaction. But the story does not end there, as these objects in turn interact with each other and humans to shape our lived experiences. Using the world-leading reference collections housed within ACASA as a primary resource, students will become familiar with different types of archaeological sources, their (raw) materials and how archaeologists approach these sources at different scales of analysis – artefact, assemblage, industry/technology – as well as the range of techniques used to observe and classify these sources.\nThe following questions will be answered:\nwhat different kinds of information do unworked and worked materials offer as archaeological sources?\nhow do humans turn (raw) materials into objects?\nhow can materials play a role in the frequency and visibility of different archaeological sources in the archaeological record?\nhow do objects affect social, religious, economic and political aspects of past societies?\nhow do archaeologists present and discuss their research into different archaeological sources?"", ""Additional Information Teaching Methods\nLectures (1 p/w- materiality theory)\nSeminars/Practicals (1 p/w- materiality skills and academic skills)\nKey methodologies:\nintroduction into classification, typology, seriation and relative dating\nbroad assessment of material type\nproduction sequences of artefact categories (additive vs. subtractive practices)\nthe socially embedded nature of technological practice\nexplaining changes in artefact use-function-meaning through object biographies\ncreation of lab reports as an assignment type"", ""Method of Assessment\nThe assessment for this course requires students to write a lab/practical report (20%) and a final multiple choice exam (60%) for the materiality component. A grade of at least 5.5 in the final exam is required to pass the course.\nFor the academic skills components, reading and processing and searching and justifying, students are assessed through writing a short essay (500-1000 words) on an object biography of their choice (20%). Multiple choice questions on source identification and references are also included in the final course exam."", ""Literature\nTextbook:\nRenfrew & Bahn textbook; same literature to WIA with different questions, especially chapters 4 and 8\nrequired reading:\nClive Gamble, The Basics, or similar\nFurther literature, bibliography\nWeb resources"", ""Additional Information\nIncluded in the course are visits to the University Humanities Library and the Allard Pierson Museum.\nN.B. When the text in the study guide is different from that of the course manual, the course manual is valid.\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed.\nThis course is not open for elective students.\nPlease note: This course is scheduled at the University of Amsterdam""]"
L_AABAARC111,Archaeological Sources,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Seminar, Lecture",Hide full list (1); Archaeology,"[""Course Objective\nThis course offers archaeology students an introduction into archaeological sources and academic skills. It will run parallel to the course What is Archaeology? to which it is aligned. The course delivers a concise introduction to material sources and materiality as core concepts of archaeology training as well as an introduction to ways of dealing scientifically with material sources.\nThe introduction into academic skills focuses on reading and processing and searching and justifying as formulated in the ACASA Academic skills pathway. Students practice summarizing readings, learn how to deal with footnotes and bibliographies, learn to distinguish between primary and secondary sources, and are introduced to the relevant collections (physical, UB and online). Fraud and plagiarism are also highlighted.\nAfter completing this course students will be able to:\ndescribe the possibilities and limitations of the most important categories of archaeological sources;\nsplit an archaeological assemblage into different categories of material culture;\nexplain the theoretical and methodological differences in the approach to archaeological sources;\ncritically review the characterisation and subsequent relative dating of archaeological contexts;\nexplain research methodology with respect to research question and scale of analysis;\napply basic academic skills in their work."", ""Course Content\nMateriality in archaeology concerns not simply the physical matter of artefacts but the fundamental interactions between humans and materials through time. The processes through which humans turn materials into objects, from selection and manipulation to use and discard, provides a valuable, tangible source of information on past human behaviour and interaction. But the story does not end there, as these objects in turn interact with each other and humans to shape our lived experiences. Using the world-leading reference collections housed within ACASA as a primary resource, students will become familiar with different types of archaeological sources, their (raw) materials and how archaeologists approach these sources at different scales of analysis – artefact, assemblage, industry/technology – as well as the range of techniques used to observe and classify these sources.\nThe following questions will be answered:\nwhat different kinds of information do unworked and worked materials offer as archaeological sources?\nhow do humans turn (raw) materials into objects?\nhow can materials play a role in the frequency and visibility of different archaeological sources in the archaeological record?\nhow do objects affect social, religious, economic and political aspects of past societies?\nhow do archaeologists present and discuss their research into different archaeological sources?"", ""Additional Information Teaching Methods\nLectures (1 p/w- materiality theory)\nSeminars/Practicals (1 p/w- materiality skills and academic skills)\nKey methodologies:\nintroduction into classification, typology, seriation and relative dating\nbroad assessment of material type\nproduction sequences of artefact categories (additive vs. subtractive practices)\nthe socially embedded nature of technological practice\nexplaining changes in artefact use-function-meaning through object biographies\ncreation of lab reports as an assignment type"", ""Method of Assessment\nThe assessment for this course requires students to write a lab/practical report (20%) and a final multiple choice exam (60%) for the materiality component. A grade of at least 5.5 in the final exam is required to pass the course.\nFor the academic skills components, reading and processing and searching and justifying, students are assessed through writing a short essay (500-1000 words) on an object biography of their choice (20%). Multiple choice questions on source identification and references are also included in the final course exam."", ""Literature\nTextbook:\nRenfrew & Bahn textbook; same literature to WIA with different questions, especially chapters 4 and 8\nrequired reading:\nClive Gamble, The Basics, or similar\nFurther literature, bibliography\nWeb resources"", ""Additional Information\nIncluded in the course are visits to the University Humanities Library and the Allard Pierson Museum.\nN.B. When the text in the study guide is different from that of the course manual, the course manual is valid.\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed.\nThis course is not open for elective students.\nPlease note: This course is scheduled at the University of Amsterdam""]"
VU_ELT,English Language Test,Archaeology,,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,0,0,,,"Hide full list (21); Ancient Studies; Archaeology; Artificial Intelligence; Biomedical Sciences; Business Analytics; Communication Science; Communication and Information Studies; Computer Science; Cultural Anthropology and Development Sociology; Econometrics and Data Science; Econometrics and Operations Research; Economics and Business Economics; History; International Business Administration; Law in Society; Literature and Society; Mathematics; Media, Art, Design and Architecture; Philosophy; Political Science; Psychology","[""Course Objective\nAt VU Amsterdam, having a strong command of the language of your study programme is crucial to your academic success. Therefore, all first-year Bachelor students must take a Dutch or English language proficiency test at the beginning of their studies. The required test depends on the language of instruction for your Bachelor's programme.\nSee also: Language Proficiency Test - Vrije Universiteit Amsterdam (vu.nl)"", ""Course Content\nThe test consists of multiplechoice and fill-in-the-blank questions on the following topics:\nGrammar\nSpelling and punctuation\nStructuring\nVocabulary/usage\nPhrasing\nReading comprehension\nPronunciation\nClassroom English"", ""Additional Information Teaching Methods\nThe language proficiency test will take place in September in the DigiTenT at the VU."", ""Method of Assessment\nThe language proficiency test is a digital test consisting of 200 closed questions."", ""Additional Information\nThe VU English Language Test is linked to a first-year course. The final grade for this course is awarded only after passing the English Language Test. Students who do not obtain a satisfactory result for the test have to take the refresher course offered by the Taalloket.\nFor more information on the VU English Language Test, please see also: Language Proficiency Test - Vrije Universiteit Amsterdam (vu.nl)"", ""Custom Course Registration\nYou do not need to register for the test. The Educational Office of your faculty will ensure your registration for the language proficiency test. Once registered, you can find the test’s date and time on your personal timetable. If you have not been registered by 8 September, please contact the student desk. You can also check the timetable of your programme for the test schedule.\nEnsure you know your VUnet ID and corresponding password, as you will need these details to log in to the language test. Tip: change your password to something you can easily remember.""]"
VU_ELT,English Language Test,Archaeology,,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,0,0,,,"Hide full list (21); Ancient Studies; Archaeology; Artificial Intelligence; Biomedical Sciences; Business Analytics; Communication Science; Communication and Information Studies; Computer Science; Cultural Anthropology and Development Sociology; Econometrics and Data Science; Econometrics and Operations Research; Economics and Business Economics; History; International Business Administration; Law in Society; Literature and Society; Mathematics; Media, Art, Design and Architecture; Philosophy; Political Science; Psychology","[""Course Objective\nAt VU Amsterdam, having a strong command of the language of your study programme is crucial to your academic success. Therefore, all first-year Bachelor students must take a Dutch or English language proficiency test at the beginning of their studies. The required test depends on the language of instruction for your Bachelor's programme.\nSee also: Language Proficiency Test - Vrije Universiteit Amsterdam (vu.nl)"", ""Course Content\nThe test consists of multiplechoice and fill-in-the-blank questions on the following topics:\nGrammar\nSpelling and punctuation\nStructuring\nVocabulary/usage\nPhrasing\nReading comprehension\nPronunciation\nClassroom English"", ""Additional Information Teaching Methods\nThe language proficiency test will take place in September in the DigiTenT at the VU."", ""Method of Assessment\nThe language proficiency test is a digital test consisting of 200 closed questions."", ""Additional Information\nThe VU English Language Test is linked to a first-year course. The final grade for this course is awarded only after passing the English Language Test. Students who do not obtain a satisfactory result for the test have to take the refresher course offered by the Taalloket.\nFor more information on the VU English Language Test, please see also: Language Proficiency Test - Vrije Universiteit Amsterdam (vu.nl)"", ""Custom Course Registration\nYou do not need to register for the test. The Educational Office of your faculty will ensure your registration for the language proficiency test. Once registered, you can find the test’s date and time on your personal timetable. If you have not been registered by 8 September, please contact the student desk. You can also check the timetable of your programme for the test schedule.\nEnsure you know your VUnet ID and corresponding password, as you will need these details to log in to the language test. Tip: change your password to something you can easily remember.""]"
L_AABAARC101,What is Archaeology?,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Excursion, Lecture","Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nStudents who successfully complete this course will have a basic knowledge of and insight into:\nThe nature, aims and objectives of modern archaeology and its relationship with (ancient) history, anthropology and the sciences\nThe history of archaeology as an academic discipline, with attention for shifts in nature, aims and objectives and theoretical frameworks\nThe relationship between material culture and patterns in human behaviour and thinking, as well as current methods to study this relationship\nThe various theoretical perspectives involved in reconstructing past human behaviour and societies, with special attention for the role of anthropology and history\nThe role of archaeology and heritage in the contemporary world"", ""Course Content\nThis first level course offers students an introduction to key concepts and practical approaches in archaeology. Students will become acquainted with the nature, aims and research objectives of modern-day archaeology. They will also gain an insight into the history of archaeology as an academic discipline and its (evolving) relationship with (ancient) history, anthropology and the natural sciences. Students will be introduced to the various ways in which archaeologists use material culture to reconstruct the human past and past societies, with special attention being paid to the role of anthropological and historical approaches. The links between archaeological theory and practice will be further explored by the use of case studies drawn from a wide range of time periods and geographical regions. Finally, consideration will also be given to the politics of archaeology, and an introduction will be given to the opportunities and challenges that face archaeology and heritage in today’s world.\nDepending on the general timetable and the availability of ongoing excavations a (non-mandatory) field trip may be organized."", ""Additional Information Teaching Methods\nLectures (3 x 2 hours per week). Average number of contact hours per week: 6 hours. Course timetable to be published on rooster.uva.nl"", ""Method of Assessment\nTwo written examinations: a midterm in week 3 (40%) and a final exam in week 8 (60%).\nA minimum score of 55% (or 5.5 on a scale of 10) on the final is needed to pass the course.\nThe resit regulations will be specified in the UvA study manual."", ""Literature\nFor this course you are expected to buy a copy of:\nRenfrew, C./Bahn, P./DeMarrais, E., 2024, Archaeology: Theories, Methods and Practice, Thames & Hudson, ninth edition. €48.95 ISBN 0500297096\nIn addition, a syllabus will be made available on Canvas, with guidelines on how to approach the handbook and with trial questions and points of discussion for each class."", ""Additional Information Target Audience\nTarget audience:\nFirst year students in Archaeology.\nSecond year students Ancient Studies with a specialization in Archaeology.\nAlso available to other students as an elective; no entry requirements."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAARC101,What is Archaeology?,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Excursion, Lecture","Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nStudents who successfully complete this course will have a basic knowledge of and insight into:\nThe nature, aims and objectives of modern archaeology and its relationship with (ancient) history, anthropology and the sciences\nThe history of archaeology as an academic discipline, with attention for shifts in nature, aims and objectives and theoretical frameworks\nThe relationship between material culture and patterns in human behaviour and thinking, as well as current methods to study this relationship\nThe various theoretical perspectives involved in reconstructing past human behaviour and societies, with special attention for the role of anthropology and history\nThe role of archaeology and heritage in the contemporary world"", ""Course Content\nThis first level course offers students an introduction to key concepts and practical approaches in archaeology. Students will become acquainted with the nature, aims and research objectives of modern-day archaeology. They will also gain an insight into the history of archaeology as an academic discipline and its (evolving) relationship with (ancient) history, anthropology and the natural sciences. Students will be introduced to the various ways in which archaeologists use material culture to reconstruct the human past and past societies, with special attention being paid to the role of anthropological and historical approaches. The links between archaeological theory and practice will be further explored by the use of case studies drawn from a wide range of time periods and geographical regions. Finally, consideration will also be given to the politics of archaeology, and an introduction will be given to the opportunities and challenges that face archaeology and heritage in today’s world.\nDepending on the general timetable and the availability of ongoing excavations a (non-mandatory) field trip may be organized."", ""Additional Information Teaching Methods\nLectures (3 x 2 hours per week). Average number of contact hours per week: 6 hours. Course timetable to be published on rooster.uva.nl"", ""Method of Assessment\nTwo written examinations: a midterm in week 3 (40%) and a final exam in week 8 (60%).\nA minimum score of 55% (or 5.5 on a scale of 10) on the final is needed to pass the course.\nThe resit regulations will be specified in the UvA study manual."", ""Literature\nFor this course you are expected to buy a copy of:\nRenfrew, C./Bahn, P./DeMarrais, E., 2024, Archaeology: Theories, Methods and Practice, Thames & Hudson, ninth edition. €48.95 ISBN 0500297096\nIn addition, a syllabus will be made available on Canvas, with guidelines on how to approach the handbook and with trial questions and points of discussion for each class."", ""Additional Information Target Audience\nTarget audience:\nFirst year students in Archaeology.\nSecond year students Ancient Studies with a specialization in Archaeology.\nAlso available to other students as an elective; no entry requirements."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAARC101,What is Archaeology?,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Excursion, Lecture","Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nStudents who successfully complete this course will have a basic knowledge of and insight into:\nThe nature, aims and objectives of modern archaeology and its relationship with (ancient) history, anthropology and the sciences\nThe history of archaeology as an academic discipline, with attention for shifts in nature, aims and objectives and theoretical frameworks\nThe relationship between material culture and patterns in human behaviour and thinking, as well as current methods to study this relationship\nThe various theoretical perspectives involved in reconstructing past human behaviour and societies, with special attention for the role of anthropology and history\nThe role of archaeology and heritage in the contemporary world"", ""Course Content\nThis first level course offers students an introduction to key concepts and practical approaches in archaeology. Students will become acquainted with the nature, aims and research objectives of modern-day archaeology. They will also gain an insight into the history of archaeology as an academic discipline and its (evolving) relationship with (ancient) history, anthropology and the natural sciences. Students will be introduced to the various ways in which archaeologists use material culture to reconstruct the human past and past societies, with special attention being paid to the role of anthropological and historical approaches. The links between archaeological theory and practice will be further explored by the use of case studies drawn from a wide range of time periods and geographical regions. Finally, consideration will also be given to the politics of archaeology, and an introduction will be given to the opportunities and challenges that face archaeology and heritage in today’s world.\nDepending on the general timetable and the availability of ongoing excavations a (non-mandatory) field trip may be organized."", ""Additional Information Teaching Methods\nLectures (3 x 2 hours per week). Average number of contact hours per week: 6 hours. Course timetable to be published on rooster.uva.nl"", ""Method of Assessment\nTwo written examinations: a midterm in week 3 (40%) and a final exam in week 8 (60%).\nA minimum score of 55% (or 5.5 on a scale of 10) on the final is needed to pass the course.\nThe resit regulations will be specified in the UvA study manual."", ""Literature\nFor this course you are expected to buy a copy of:\nRenfrew, C./Bahn, P./DeMarrais, E., 2024, Archaeology: Theories, Methods and Practice, Thames & Hudson, ninth edition. €48.95 ISBN 0500297096\nIn addition, a syllabus will be made available on Canvas, with guidelines on how to approach the handbook and with trial questions and points of discussion for each class."", ""Additional Information Target Audience\nTarget audience:\nFirst year students in Archaeology.\nSecond year students Ancient Studies with a specialization in Archaeology.\nAlso available to other students as an elective; no entry requirements."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
L_AABAARC101,What is Archaeology?,Archaeology,Faculty of Humanities,https://studiegids.vu.nl/en/Bachelor/2025-2026/archaeology,1,1.0,6,100,prof. dr. mr. R.J. Allan,"Excursion, Lecture","Hide full list (8); Ancient Studies; Archaeology; Communication and Information Studies; Greek and Latin Languages and Cultures; History; Literature and Society; Media, Art, Design and Architecture; Philosophy","[""Course Objective\nStudents who successfully complete this course will have a basic knowledge of and insight into:\nThe nature, aims and objectives of modern archaeology and its relationship with (ancient) history, anthropology and the sciences\nThe history of archaeology as an academic discipline, with attention for shifts in nature, aims and objectives and theoretical frameworks\nThe relationship between material culture and patterns in human behaviour and thinking, as well as current methods to study this relationship\nThe various theoretical perspectives involved in reconstructing past human behaviour and societies, with special attention for the role of anthropology and history\nThe role of archaeology and heritage in the contemporary world"", ""Course Content\nThis first level course offers students an introduction to key concepts and practical approaches in archaeology. Students will become acquainted with the nature, aims and research objectives of modern-day archaeology. They will also gain an insight into the history of archaeology as an academic discipline and its (evolving) relationship with (ancient) history, anthropology and the natural sciences. Students will be introduced to the various ways in which archaeologists use material culture to reconstruct the human past and past societies, with special attention being paid to the role of anthropological and historical approaches. The links between archaeological theory and practice will be further explored by the use of case studies drawn from a wide range of time periods and geographical regions. Finally, consideration will also be given to the politics of archaeology, and an introduction will be given to the opportunities and challenges that face archaeology and heritage in today’s world.\nDepending on the general timetable and the availability of ongoing excavations a (non-mandatory) field trip may be organized."", ""Additional Information Teaching Methods\nLectures (3 x 2 hours per week). Average number of contact hours per week: 6 hours. Course timetable to be published on rooster.uva.nl"", ""Method of Assessment\nTwo written examinations: a midterm in week 3 (40%) and a final exam in week 8 (60%).\nA minimum score of 55% (or 5.5 on a scale of 10) on the final is needed to pass the course.\nThe resit regulations will be specified in the UvA study manual."", ""Literature\nFor this course you are expected to buy a copy of:\nRenfrew, C./Bahn, P./DeMarrais, E., 2024, Archaeology: Theories, Methods and Practice, Thames & Hudson, ninth edition. €48.95 ISBN 0500297096\nIn addition, a syllabus will be made available on Canvas, with guidelines on how to approach the handbook and with trial questions and points of discussion for each class."", ""Additional Information Target Audience\nTarget audience:\nFirst year students in Archaeology.\nSecond year students Ancient Studies with a specialization in Archaeology.\nAlso available to other students as an elective; no entry requirements."", ""Additional Information\nThis course is part of a joined programme by the Vrije Universiteit Amsterdam (VU) and the University of Amsterdam (UvA). It is taught at a UvA location. For the course schedule see https://rooster.uva.nl/"", ""Custom Course Registration\nFirst year ACASA students are automatically placed. Other students can register for this course via UvA https://glass.uva.nl\nVU students who would like to follow this course as an elective need to request a guest registration at the UvA. See for more information: https://www.uva.nl/en/education/other-programmes/electives/electives.html\nPlease note:\nCourse registration periods between VU and UvA differ.\nThis course is scheduled at the University of Amsterdam.""]"
